chembl_id,pred_sig_0.1,pred_sig_0.2,pred_sig_0.3,pred_sig_0.4,pred_sig_0.5,pred_sig_0.6,pred_sig_0.7
CHEMBL2105643,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL2105645,0.0,0.0,0.0,Undefined,Undefined,Undefined,Undefined
CHEMBL2105647,0.0,0.0,0.0,0.0,0.0,Undefined,Undefined
CHEMBL2105648,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHEMBL2105649,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL2105650,Undefined,0.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2105651,1.0,1.0,1.0,1.0,1.0,1.0,Undefined
CHEMBL2105653,0.0,0.0,0.0,0.0,0.0,Undefined,Undefined
CHEMBL2105654,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL2105655,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL2105656,0.0,0.0,0.0,Undefined,Undefined,Undefined,Undefined
CHEMBL2105657,0.0,0.0,0.0,0.0,0.0,Undefined,Undefined
CHEMBL2105659,Undefined,0.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2105660,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2105661,0.0,0.0,0.0,0.0,Undefined,Undefined,Undefined
CHEMBL2105662,0.0,0.0,0.0,0.0,Undefined,Undefined,Undefined
CHEMBL2105664,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHEMBL2105665,0.0,0.0,0.0,0.0,0.0,0.0,Undefined
CHEMBL2105666,1.0,1.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL2105667,0.0,0.0,0.0,0.0,0.0,Undefined,Undefined
CHEMBL2105668,1.0,1.0,1.0,Undefined,Undefined,Undefined,Undefined
CHEMBL2105669,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL2105671,0.0,0.0,0.0,Undefined,Undefined,Undefined,Undefined
CHEMBL2105672,0.0,0.0,0.0,0.0,0.0,0.0,0.0
